PanelID,Name,Version,Genes,GeneCount,DateOfCheck
579,Adult onset leukodystrophy,6.1,AARS;AARS2;ABCD1;ADAR;ALDH3A2;ANXA11;APP;ARSA;ASPA;AUH;CLCN2;COL4A1;COL4A2;CSF1R;CST3;CTC1;CTSA;CYP27A1;CYP7B1;DARS;DARS2;EARS2;EIF2B1;EIF2B2;EIF2B3;EIF2B4;EIF2B5;EPRS;GALC;GBE1;GCDH;GFAP;GJA1;GJB1;GJC2;GLA;GLB1;GSN;HEPACAM;HEXA;HMGCL;HTRA1;ITM2B;KIF5A;L2HGDH;LAMB1;LARS2;LIG3;LMNB1;MAL;MAN2B1;MARS;MCOLN1;MTHFR;NOTCH3;NPC1;OCRL;PAH;PEX1;PEX10;PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3;PEX5;PEX6;PEX7;PLP1;POLR1C;POLR3A;POLR3B;PRNP;PSAP;PSEN1;PSEN2;PTEN;RNASEH2A;RNASEH2B;RNASEH2C;RNASET2;RNF216;RPS6KA3;SAMHD1;SNORD118;SPG11;SPG21;TPP2;TREM2;TREX1;TTR;TUBB4A;TYMP;TYROBP;ZFYVE26,99,2026-05-04
474,Adult onset neurodegenerative disorder,8.21,AAAS;AARS;ABCB7;ABCD1;ABHD12;ACTB;ADAR;ADCY5;AFG3L2;AIMP1;ALAS2;ALDH18A1;ALS2;AMPD2;ANG;ANO10;ANO3;ANXA11;AP1S2;AP4B1;AP4E1;AP4M1;AP4S1;AP5Z1;APP;APTX;AR;ARG1;ARHGEF28;ARL6IP1;ARSA;ARSI;ARX;ATCAY;ATL1;ATM;ATN1;ATP13A2;ATP1A2;ATP1A3;ATP2B3;ATP6AP2;ATP7B;ATP8A2;ATXN1;ATXN10;ATXN2;ATXN3;ATXN7;ATXN8;AUH;B4GALNT1;BCAP31;BEAN1;BSCL2;C12orf65;C19orf12;C9orf72;CA8;CACNA1A;CACNA1G;CACNB4;CAMTA1;CAPN1;CASK;CCDC88C;CCNF;CCT5;CDK16;CHCHD10;CHCHD2;CHMP1A;CHMP2B;CIZ1;CLCN2;CLN6;CLP1;COASY;COG5;COL4A1;COL4A2;COQ2;COQ8A;COX20;CP;CSF1R;CST3;CSTB;CTSA;CTSF;CWF19L1;CYP27A1;CYP2U1;CYP7B1;DAB1;DAO;DARS;DARS2;DCAF17;DCTN1;DDC;DDHD1;DDHD2;DLAT;DMXL2;DNAJB2;DNAJC13;DNAJC19;DNAJC5;DNAJC6;DNAJC7;DNMT1;DRD2;DRD5;DSTYK;DYNC1H1;EARS2;EIF2B1;EIF2B2;EIF2B3;EIF2B4;EIF2B5;EIF4G1;ELOVL4;ELOVL5;ENTPD1;EPM2A;ERBB4;ERCC6;ERLIN1;ERLIN2;EWSR1;EXOSC3;FA2H;FARS2;FASTKD2;FBXO7;FGF14;FIG4;FLVCR1;FMR1;FOLR1;FOXG1;FOXRED1;FTL;FUS;FXN;GAD1;GAMT;GBA;GBA2;GBE1;GCDH;GCH1;GFAP;GIGYF2;GJC2;GLA;GLRA1;GLRB;GLT8D1;GNAL;GNAO1;GOSR2;GPAA1;GRID2;GRM1;GRN;GSN;HACE1;HEXA;HEXB;HFE;HNRNPA1;HNRNPA2B1;HPCA;HPRT1;HSPD1;HTRA1;HTRA2;HTT;IBA57;IPPK;ITM2B;ITPR1;JAM2;JPH3;KCNA1;KCNC3;KCND3;KCNJ10;KCNK18;KCNQ2;KCNQ3;KDM5C;KIAA1161;KIDINS220;KIF1A;KIF1C;KIF5A;KLC4;KMT2B;L1CAM;L2HGDH;LAMB1;LRRK2;LYST;MAG;MAPT;MARS;MARS2;MAT1A;MATR3;MCOLN1;MECR;MMACHC;MMADHC;MPV17;MR1;MRE11;MT-ATP6;MT-ND6;MTPAP;MTTP;MVK;NAA60;NAGLU;NDUFA12;NEFH;NEK1;NHLRC1;NIPA1;NKX2-1;NKX6-2;NOP56;NOTCH3;NPC1;NPC2;NR4A2;NT5C2;OPA3;OPHN1;OPTN;PANK2;PARK7;PAX2;PAX6;PCDH12;PCLO;PDGFB;PDGFRB;PDHX;PDYN;PEX16;PFN1;PGAP1;PIK3R5;PINK1;PLA2G6;PLP1;PMPCA;PNKD;PNKP;PNPLA6;PNPT1;POLG;POLR3A;PPP2R2B;PRICKLE1;PRKCG;PRKN;PRKRA;PRNP;PRPH;PRRT2;PSAP;PSEN1;PSEN2;PTEN;PTS;QDPR;RAB32;RAB39B;RAB3GAP2;RARS2;REEP1;REEP2;RELN;RNASEH2A;RNASEH2B;RNASEH2C;RNF170;RNF216;RTN2;RUBCN;SACS;SAMHD1;SAR1B;SCN1A;SCN8A;SCN9A;SCP2;SDHAF1;SEPSECS;SERAC1;SETX;SGCE;SGIP1;SIGMAR1;SIL1;SLC16A2;SLC19A3;SLC1A3;SLC1A4;SLC20A2;SLC25A46;SLC2A1;SLC30A10;SLC33A1;SLC39A14;SLC41A1;SLC46A1;SLC52A1;SLC52A2;SLC52A3;SLC6A3;SLC6A5;SLC9A6;SNCA;SNCAIP;SNCB;SNX14;SOD1;SORL1;SPART;SPAST;SPG11;SPG21;SPG7;SPR;SPTBN2;SPTLC1;SPTLC2;SQSTM1;SRD5A3;SS18L1;STUB1;SUCLA2;SUOX;SYNE1;SYNJ1;SYT14;TAF1;TAF15;TARDBP;TBK1;TBP;TDP1;TECPR2;TET2;TFG;TGM6;TH;THAP1;TIA1;TIMM8A;TMEM240;TOR1A;TPK1;TPP1;TREM2;TREX1;TSEN2;TSEN34;TSEN54;TTBK2;TTC19;TTPA;TTR;TUBA4A;TUBB4A;TWNK;TYROBP;UBQLN2;UBR4;UCHL1;UNC13A;UQCRC1;USP8;VAC14;VAMP1;VAPB;VCP;VEGFA;VLDLR;VPS13A;VPS13C;VPS13D;VPS35;VPS37A;VPS53;VRK1;WASHC5;WDR45;WDR45B;WDR48;WDR73;WDR81;WFS1;WWOX;XK;XPR1;XRCC1;YY1;ZEB2;ZFYVE26;ZFYVE27;ZNF592,418,2026-05-04
245,Adult solid tumours cancer susceptibility,2.35,ACD;AIP;APC;ATM;BAP1;BMPR1A;BRAF;BRCA1;BRCA2;BRIP1;CBL;CDC73;CDH1;CDK4;CDKN1B;CDKN2A;CHEK2;CTC1;DDB2;DGCR8;DICER1;DKC1;EPCAM;ERCC1;ERCC2;ERCC3;ERCC4;ERCC5;EXT1;EXT2;FANCA;FANCB;FANCC;FANCD2;FANCE;FANCF;FANCG;FANCI;FANCL;FH;FLCN;HRAS;KIT;KRAS;LZTR1;MAP2K1;MAP2K2;MAX;MEN1;MET;MLH1;MSH2;MSH6;MUTYH;NF1;NF2;NOP10;NRAS;NTHL1;PALB2;PARN;PDGFRA;PMS2;POLD1;POLE;POLH;PPP1CB;PTCH1;PTEN;PTPN11;RABL3;RAD51C;RAD51D;RAF1;RB1;RET;RIT1;RTEL1;SDHA;SDHAF2;SDHB;SDHC;SDHD;SHOC2;SLX4;SMAD4;SMARCA4;SMARCB1;SOS1;SOS2;SPRED1;STK11;SUFU;TERC;TERT;TINF2;TMEM127;TP53;TSC1;TSC2;VHL;WRAP53;WT1;XPA;XPC,105,2026-05-04
391,Adult solid tumours for rare disease,1.42,AIP;APC;ATM;BAP1;BMPR1A;BRCA1;BRCA2;BRIP1;CDC73;CDH1;CDK4;CDKN1B;CDKN2A;CHEK2;DICER1;EPCAM;EXT1;EXT2;FH;FLCN;KIT;MAX;MEN1;MET;MLH1;MSH2;MSH6;MUTYH;NF1;NF2;NTHL1;PALB2;PDGFRA;PMS2;POLD1;POLE;PTCH1;PTEN;RAD51C;RAD51D;RB1;RET;SDHA;SDHAF2;SDHB;SDHC;SDHD;SMAD4;SMARCA4;SMARCB1;STK11;SUFU;TMEM127;TP53;TSC1;TSC2;VHL;WT1,58,2026-05-04
1208,Agammaglobulinaemia with absent BTK expression,1.3,BTK,1,2026-05-04
511,Albinism or congenital nystagmus,4.5,AHR;AP3B1;AP3D1;BLOC1S3;BLOC1S5;BLOC1S6;CACNA1A;CACNA1F;CACNB3;CASK;CLCN7;CLDN11;CNGB3;DCT;DGUOK;DTNBP1;FRMD7;GNAI3;GPR143;HPS1;HPS3;HPS4;HPS5;HPS6;LAMA1;LRMDA;LYST;MANBA;MITF;MLPH;MT-ATP6;MT-CO1;MT-CO3;MT-CYB;MT-ND2;MT-ND6;MYO5A;OCA2;PAX6;RAB27A;ROBO1;SACS;SETX;SLC24A5;SLC38A8;SLC45A2;TULP1;TYR;TYRP1,49,2026-05-04
1209,"Albright hereditary osteodystrophy, pseudohypoparathyroidism, pseudopseudohypoparathyroidism, acrodysostosis and osteoma cutis",1.1,GNAS;PDE4D;PRKAR1A;STX16,4,2026-05-04
1210,Alstrom syndrome,1.3,ALMS1,1,2026-05-04
1211,Alveolar capillary dysplasia with misalignment of pulmonary veins,1.8,FOXF1;LINC01081;LINC01082,3,2026-05-04
269,Amelogenesis imperfecta,4.3,ACP4;AIRE;ALPL;AMBN;AMELX;AMTN;C4orf26;CLDN16;CLDN19;CNNM4;COL17A1;DLX3;ENAM;FAM20A;FAM20C;FAM83H;GPR68;ITGB4;ITGB6;KCNJ1;KLK4;LAMA3;LAMB3;LAMC2;LTBP3;MMP20;NECTIN4;ORAI1;PEX1;PEX26;PEX6;PLXNB2;RELT;ROGDI;SLC10A7;SLC13A5;SLC24A4;SMARCD2;SP6;STIM1;TMEM165;TP63;TUFT1;WDR72,44,2026-05-04
263,Amyotrophic lateral sclerosis/motor neuron disease,1.74,ALS2;ANG;ANXA11;AR;ATXN2;C9orf72;CHCHD10;CHMP2B;DCTN1;ERBB4;FIG4;FUS;GRN;HFE;HNRNPA1;KIF5A;MATR3;NEFH;NEK1;OPTN;PFN1;SETX;SIGMAR1;SLC52A1;SLC52A2;SLC52A3;SOD1;SPAST;SPG11;SQSTM1;TARDBP;TBK1;TUBA4A;UBQLN2;UNC13A;VAPB;VCP;VEGFA,38,2026-05-04
34,Anophthalmia or microphthalmia,1.57,ABCB6;ALDH1A3;B3GLCT;BCOR;BMP4;BMPR1A;C16orf62;CAPN15;COL4A1;CYP1B1;DDB1;DDB2;ERCC1;ERCC2;ERCC3;ERCC4;ERCC5;ERCC6;ERCC8;FAT1;FOXC1;FOXE3;FRAS1;FREM1;FREM2;GDF3;GDF6;GRIP1;GTF2H5;HCCS;HDAC6;KMT2D;MAB21L2;MFRP;MPLKIP;MYRF;OTX2;PAX2;PAX6;PITX2;PITX3;PLK4;POLH;PRSS56;RAB18;RAB3GAP1;RAB3GAP2;RARB;RAX;SHH;SIX6;SMO;SMOC1;SOX2;STRA6;TBC1D20;TENM3;TMEM98;TUBGCP4;VAX1;VSX2;XPA;XPC,63,2026-05-04
1212,APC associated Polyposis,1.3,APC,1,2026-05-04
1571,APOL1 kidney donor testing,1.2,APOL1,1,2026-05-04
134,Arrhythmogenic right ventricular cardiomyopathy,3.15,ANK2;CAVIN4;CDH2;CTNNA3;DES;DSC2;DSG2;DSP;FLNC;JUP;LDB3;LMNA;PKP2;PLN;RBM20;RYR2;SCN5A;TGFB3;TMEM43;TTN,20,2026-05-04
258,Arthrogryposis,9.34,ABHD5;ACADM;ACADS;ACADVL;ACTA1;ACTC1;ADAMTS10;ADAMTS15;ADCY6;ADGRG6;ADSL;AGL;AGRN;AIMP1;ALG14;ALG2;ALG3;ANO5;ANTXR2;ANXA3;ASCC1;ASXL1;ATAD1;ATP1A2;ATP2A1;B3GALNT2;B4GAT1;BAG3;BICD2;BIN1;BORCS5;C12orf65;CACNA1E;CAMLG;CAPN3;CAV3;CCDC47;CCDC78;CEP55;CFL2;CHAT;CHCHD10;CHKB;CHMP1A;CHRNA1;CHRNB1;CHRND;CHRNE;CHRNG;CHST14;CIAO1;CLCF1;CNTN1;CNTNAP1;COASY;COL12A1;COL25A1;COL4A1;COL4A2;COL6A1;COL6A2;COL6A3;COL9A3;COLQ;CPT2;CRLF1;CRYAB;CTDP1;CUL4B;DAG1;DDR2;DES;DHCR24;DMD;DMPK;DNAJB6;DNM2;DOK7;DOLK;DPAGT1;DPM1;DPM2;DPM3;DST;DUX4;DYNC1H1;DYSF;EBP;ECEL1;EGR2;EMD;ERBB3;ERCC1;ERCC5;ERCC6;ERCC8;ERGIC1;ETFA;ETFB;ETFDH;EXOSC3;EXOSC9;FAM111B;FAM20C;FBN2;FGFR2;FGFR3;FHL1;FILIP1;FKBP10;FKBP14;FKRP;FKTN;FLNA;FLNB;FLNC;GAA;GARS;GBA;GBE1;GDAP1;GFER;GFM2;GFPT1;GLDN;GLE1;GMPPB;GNE;GRN;HADH;HADHA;HADHB;HNRNPA1;HRAS;HSPG2;IBA57;IGHMBP2;IRF6;ISCU;ISLR2;ISPD;ITGA7;KAT6B;KBTBD13;KCNK3;KIAA1109;KIDINS220;KIF21A;KIF26B;KIF5C;KLHL40;KLHL41;KLHL7;L1CAM;LAMA2;LAMP2;LARGE1;LDB3;LGI3;LGI4;LMNA;LMOD3;LMX1B;LPIN1;MAGEL2;MATR3;MED12;MEGF10;MET;MFN2;MICU1;MPZ;MTM1;MTMR1;MT-TL1;MUSK;MYBPC1;MYF6;MYH14;MYH2;MYH3;MYH7;MYH8;MYL1;MYLPF;MYMK;MYO9A;MYOD1;MYOT;NALCN;NEB;NEFL;NEK9;NRDC;NUP88;ORAI1;PABPN1;PEX1;PEX10;PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3;PEX5;PEX6;PEX7;PFKM;PI4KA;PIEZO2;PIGS;PIP5K1C;PLEC;PLOD1;PLOD2;PNPLA2;POLG;POMGNT1;POMGNT2;POMK;POMT1;POMT2;POR;PRG4;PSD3;PUS1;PYGM;RAPSN;RBCK1;RIPK4;RRM2B;RYR1;SCARF2;SCN1A;SCN4A;SCYL2;SELENON;SENP7;SGCA;SGCB;SGCD;SGCG;SIL1;SKI;SLC18A3;SLC22A5;SLC25A4;SLC25A42;SLC29A3;SLC35A3;SLC52A3;SLC5A7;SLC6A9;SMAD3;SMAD4;SMCHD1;SMN1;SMPD4;SNAPIN;STAC3;STIM1;STIM2;SVIL;SYNE1;SYNE2;SYT2;TBCD;TCAP;TGFB2;TGFB3;TGFBR1;TGFBR2;TIA1;TK2;TMEM43;TMEM5;TNNI2;TNNT1;TNNT3;TOR1A;TOR1AIP1;TPM2;TPM3;TRIM32;TRIP4;TRPV4;TSEN2;TSEN34;TSEN54;TTN;UBA1;UNC50;UTRN;VAMP1;VCP;VIPAS39;VPS33B;VPS8;YARS2;ZC4H2;ZMPSTE24;ZNF335,306,2026-05-04
477,Ataxia and cerebellar anomalies - narrow panel,8.87,AAAS;AARS;ABCA2;ABCB7;ABHD12;ACBD6;ACO2;ADGRG1;ADPRHL2;AFG3L2;AGTPBP1;ALAS2;ALDH5A1;AMPD2;ANO10;AP1S2;APTX;ARSA;ASL;ATAD3A;ATCAY;ATG12;ATG7;ATM;ATN1;ATOH1;ATP1A3;ATP2B3;ATP6V0A1;ATP6V0C;ATP8A2;ATXN1;ATXN10;ATXN2;ATXN3;ATXN7;ATXN8;B3GALNT2;B4GAT1;BBS1;BEAN1;BRF1;CA8;CACNA1A;CACNA1G;CACNB4;CAD;CAMTA1;CAPRIN1;CASK;CCDC88C;CCT5;CDK5;CHMP1A;CHP1;CLCN2;CLN5;CLN6;CLP1;CLPP;COA7;COASY;COG5;COQ4;COQ5;COQ8A;COX20;CP;CRNKL1;CSTB;CTBP1;CWF19L1;CYP27A1;CYP2U1;DAB1;DAG1;DAGLA;DARS2;DCC;DDHD2;DHDDS;DKC1;DLG4;DMXL2;DNAJC19;DNAJC3;DNAJC5;DNMT1;DOCK3;DPYSL5;DYNC1H1;EBF3;EEF2;EEFSEC;EIF2B1;EIF2B2;EIF2B3;EIF2B4;EIF2B5;ELOVL4;ELOVL5;EN1;EPM2A;EXOSC1;EXOSC3;EXOSC5;EXOSC8;FA2H;FBXL4;FDXR;FEM1C;FGF14;FKRP;FKTN;FLVCR1;FMR1;FOLR1;FRMD4A;FRMD5;FTH1;FXN;GBA2;GEMIN5;GFAP;GJC2;GLS;GMPPB;GOSR2;GPAA1;GRID2;GRM1;GRN;HARS;HEATR5B;HEXA;HEXB;HMBS;INPP4A;INTS11;IRF2BPL;ISPD;ITPR1;JAM2;JKAMP;KCNA1;KCNA2;KCNC3;KCND3;KCNJ10;KCNN2;KIF1A;KIF1C;LAMA1;LARGE1;LARS2;LETM1;LIG3;LNPK;LSM7;MAG;MAPK8IP3;MARS2;MFSD8;MINPP1;MMACHC;MORC2;MRE11;MSTO1;MT-ATP6;MTCL1;MTFMT;MTPAP;MTTP;MVK;NAGLU;NAXE;NEU1;NFASC;NHLRC1;NKX2-1;NKX6-2;NMNAT2;NOP56;NPC1;NPC2;NPTX1;NUS1;OGDHL;OPA1;OPA3;OPHN1;PAX2;PAX6;PCLO;PDE1B;PDYN;PEX16;PEX6;PGBD5;PHGDH;PI4KA;PIK3R5;PITRM1;PLA2G6;PMPCA;PMPCB;PNKP;PNPLA6;PNPT1;POLG;POLR3A;POLR3B;POLR3K;POMGNT1;POMGNT2;POMK;POMT1;POMT2;POU4F1;PPP2R2B;PRDM13;PRDX3;PRICKLE1;PRKCG;PRNP;PRRT2;PTF1A;PTPMT1;PTRH2;RAB3A;RARS2;RELN;RFXANK;RNF170;RNF216;RNF220;RNU12;RNU6ATAC;ROBO3;RORA;RUBCN;SACS;SAR1B;SCN1A;SCN2A;SCN8A;SCYL1;SEPSECS;SETX;SIL1;SKOR2;SLC17A5;SLC1A3;SLC25A46;SLC2A1;SLC44A1;SLC52A2;SLC9A1;SLC9A6;SMPD4;SNAP25;SNAPIN;SNX14;SPG7;SPR;SPTAN1;SPTBN2;SQSTM1;SRD5A3;STUB1;SUFU;SVBP;SYNE1;SYT14;TANGO2;TBC1D23;TBP;TDP1;TDP2;TECPR2;TERT;TGM6;THG1L;TINF2;TMEM106B;TMEM240;TMEM5;TOE1;TPP1;TPR;TRIP4;TRMT5;TSEN15;TSEN2;TSEN34;TSEN54;TTBK2;TTC19;TTPA;TUBA1A;TUBA8;TUBB;TUBB2B;TUBB3;TUBB4A;TWNK;UBR4;UBTF;UCHL1;VAMP1;VLDLR;VPS13D;VPS41;VPS53;VRK1;WDR73;WDR81;WFS1;WSB2;WWOX;XRCC1;ZFHX3;ZFYVE26;ZNF592;ZNF865,325,2026-05-04
1213,Ataxia telangiectasia - mutation testing,1.3,ATM,1,2026-05-04
139,Atypical haemolytic uraemic syndrome,3.8,ADAMTS13;C3;CD46;CFB;CFH;CFHR1;CFHR3;CFHR4;CFHR5;CFI;DGKE;INF2;MMACHC;THBD;VTN,15,2026-05-04
260,Auditory Neuropathy Spectrum Disorde,1.1,ATP11A;ATP1A3;CABP2;DFNB59;DIAPH3;OPA1;OTOF;TMEM43,8,2026-05-04
1214,Autoimmune lymphoproliferative syndrome with defective apoptosis,1.3,FAS,1,2026-05-04
1215,Autoimmune Polyendocrine Syndrome,1.4,AIRE,1,2026-05-04
1075,Autoinflammatory disorders,2.39,ADA;ADA2;ALPK1;CARD14;COPA;ELF4;GP6;IKBKG;IL17RA;IL1RN;IL36RN;ITCH;LPIN2;MEFV;MVK;NLRC4;NLRP12;NLRP3;NOD2;OGFRL1;OTULIN;PLCG2;POMP;PRF1;PSMB10;PSMB4;PSMB8;PSMB9;PSTPIP1;PTPN1;RBCK1;RELA;RIPK1;SEC23B;SH3BP2;SLC29A3;TBK1;TMEM173;TNFAIP3;TNFRSF1A;UBA1,41,2026-05-04
282,Autosomal recessive congenital ichthyosis,1.15,ABCA12;ALDH3A2;ALOX12B;ALOXE3;CERS3;CYP4F22;LIPN;NIPAL4;PNPLA1;SDR9C7;SLC27A4;ST14;STS;SULT2B1;TGM1,15,2026-05-04
557,Autosomal recessive primary hypertrophic osteoarthropathy,1.17,ACVR1;HPGD;SLCO2A1,3,2026-05-04
1216,BAP1 associated tumour predisposition syndrome,1.3,BAP1,1,2026-05-04
543,Bardet Biedl syndrome,2.16,ALMS1;ARL6;BBIP1;BBS1;BBS10;BBS12;BBS2;BBS4;BBS5;BBS7;BBS9;C8orf37;CCDC28B;CEP290;IFT27;IFT57;IFT74;LZTFL1;MKKS;MKS1;SDCCAG8;TMEM67;TRIM32;TTC8;WDPCP,25,2026-05-04
1308,Barth syndrome,1.4,TAZ,1,2026-05-04
1309,Beckwith-Wiedemann syndrome,1.3,CDKN1C,1,2026-05-04
38,Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders,1.121,ABCC9;AKT2;AKT3;ASXL2;BRWD3;CDKN1C;CHD8;DIS3L2;DNMT3A;EED;EZH2;GPC3;H19;HERC1;HIST1H1E;IGF2;KCNQ1OT1;MTOR;NFIB;NFIX;NSD1;OFD1;PDGFRB;PIK3CA;PPP2R5D;PTEN;RNF125;SETD2;SUZ12;ZBTB7A,30,2026-05-04
